year,odds_range,ev_threshold,score_pctl,pop_min,roi,bet_count,hit_count,hit_rate
2025,10-30,0.8,0.4,all,26.144578313253007,83,2,2.4096385542168677
2025,10-30,0.8,0.4,3,26.144578313253007,83,2,2.4096385542168677
2025,10-30,0.8,0.4,4,27.125,80,2,2.5
2025,10-30,0.8,0.4,5,15.714285714285714,70,1,1.4285714285714286
2025,10-30,0.8,0.5,all,0.0,33,0,0.0
2025,10-30,0.8,0.5,3,0.0,33,0,0.0
2025,10-30,0.8,0.5,4,0.0,32,0,0.0
2025,10-30,0.8,0.5,5,0.0,29,0,0.0
2025,10-30,0.8,0.6,all,0.0,17,0,0.0
2025,10-30,0.8,0.6,3,0.0,17,0,0.0
2025,10-30,0.8,0.6,4,0.0,16,0,0.0
2025,10-30,0.8,0.6,5,0.0,15,0,0.0
2025,10-30,0.8,0.7,all,0.0,5,0,0.0
2025,10-30,0.8,0.7,3,0.0,5,0,0.0
2025,10-30,0.8,0.7,4,0.0,5,0,0.0
2025,10-30,0.8,0.7,5,0.0,5,0,0.0
2025,10-30,0.9,0.4,all,26.144578313253007,83,2,2.4096385542168677
2025,10-30,0.9,0.4,3,26.144578313253007,83,2,2.4096385542168677
2025,10-30,0.9,0.4,4,27.125,80,2,2.5
2025,10-30,0.9,0.4,5,15.714285714285714,70,1,1.4285714285714286
2025,10-30,0.9,0.5,all,0.0,33,0,0.0
2025,10-30,0.9,0.5,3,0.0,33,0,0.0
2025,10-30,0.9,0.5,4,0.0,32,0,0.0
2025,10-30,0.9,0.5,5,0.0,29,0,0.0
2025,10-30,0.9,0.6,all,0.0,17,0,0.0
2025,10-30,0.9,0.6,3,0.0,17,0,0.0
2025,10-30,0.9,0.6,4,0.0,16,0,0.0
2025,10-30,0.9,0.6,5,0.0,15,0,0.0
2025,10-30,0.9,0.7,all,0.0,5,0,0.0
2025,10-30,0.9,0.7,3,0.0,5,0,0.0
2025,10-30,0.9,0.7,4,0.0,5,0,0.0
2025,10-30,0.9,0.7,5,0.0,5,0,0.0
2025,10-30,1.0,0.4,all,26.144578313253007,83,2,2.4096385542168677
2025,10-30,1.0,0.4,3,26.144578313253007,83,2,2.4096385542168677
2025,10-30,1.0,0.4,4,27.125,80,2,2.5
2025,10-30,1.0,0.4,5,15.714285714285714,70,1,1.4285714285714286
2025,10-30,1.0,0.5,all,0.0,33,0,0.0
2025,10-30,1.0,0.5,3,0.0,33,0,0.0
2025,10-30,1.0,0.5,4,0.0,32,0,0.0
2025,10-30,1.0,0.5,5,0.0,29,0,0.0
2025,10-30,1.0,0.6,all,0.0,17,0,0.0
2025,10-30,1.0,0.6,3,0.0,17,0,0.0
2025,10-30,1.0,0.6,4,0.0,16,0,0.0
2025,10-30,1.0,0.6,5,0.0,15,0,0.0
2025,10-30,1.0,0.7,all,0.0,5,0,0.0
2025,10-30,1.0,0.7,3,0.0,5,0,0.0
2025,10-30,1.0,0.7,4,0.0,5,0,0.0
2025,10-30,1.0,0.7,5,0.0,5,0,0.0
2025,10-30,1.2,0.4,all,26.144578313253007,83,2,2.4096385542168677
2025,10-30,1.2,0.4,3,26.144578313253007,83,2,2.4096385542168677
2025,10-30,1.2,0.4,4,27.125,80,2,2.5
2025,10-30,1.2,0.4,5,15.714285714285714,70,1,1.4285714285714286
2025,10-30,1.2,0.5,all,0.0,33,0,0.0
2025,10-30,1.2,0.5,3,0.0,33,0,0.0
2025,10-30,1.2,0.5,4,0.0,32,0,0.0
2025,10-30,1.2,0.5,5,0.0,29,0,0.0
2025,10-30,1.2,0.6,all,0.0,17,0,0.0
2025,10-30,1.2,0.6,3,0.0,17,0,0.0
2025,10-30,1.2,0.6,4,0.0,16,0,0.0
2025,10-30,1.2,0.6,5,0.0,15,0,0.0
2025,10-30,1.2,0.7,all,0.0,5,0,0.0
2025,10-30,1.2,0.7,3,0.0,5,0,0.0
2025,10-30,1.2,0.7,4,0.0,5,0,0.0
2025,10-30,1.2,0.7,5,0.0,5,0,0.0
2025,10-50,0.5,0.4,all,58.55555555555556,90,3,3.3333333333333335
2025,10-50,0.5,0.4,3,58.55555555555556,90,3,3.3333333333333335
2025,10-50,0.5,0.4,4,60.57471264367816,87,3,3.4482758620689653
2025,10-50,0.5,0.4,5,54.54545454545454,77,2,2.5974025974025974
2025,10-50,0.5,0.5,all,77.5,40,1,2.5
2025,10-50,0.5,0.5,3,77.5,40,1,2.5
2025,10-50,0.5,0.5,4,79.48717948717949,39,1,2.564102564102564
2025,10-50,0.5,0.5,5,86.11111111111111,36,1,2.7777777777777777
2025,10-50,0.5,0.6,all,163.1578947368421,19,1,5.263157894736842
2025,10-50,0.5,0.6,3,163.1578947368421,19,1,5.263157894736842
2025,10-50,0.5,0.6,4,172.22222222222223,18,1,5.555555555555555
2025,10-50,0.5,0.6,5,182.35294117647058,17,1,5.88235294117647
2025,10-50,0.5,0.7,all,0.0,5,0,0.0
2025,10-50,0.5,0.7,3,0.0,5,0,0.0
2025,10-50,0.5,0.7,4,0.0,5,0,0.0
2025,10-50,0.5,0.7,5,0.0,5,0,0.0
2025,10-50,0.6,0.4,all,58.55555555555556,90,3,3.3333333333333335
2025,10-50,0.6,0.4,3,58.55555555555556,90,3,3.3333333333333335
2025,10-50,0.6,0.4,4,60.57471264367816,87,3,3.4482758620689653
2025,10-50,0.6,0.4,5,54.54545454545454,77,2,2.5974025974025974
2025,10-50,0.6,0.5,all,77.5,40,1,2.5
2025,10-50,0.6,0.5,3,77.5,40,1,2.5
2025,10-50,0.6,0.5,4,79.48717948717949,39,1,2.564102564102564
2025,10-50,0.6,0.5,5,86.11111111111111,36,1,2.7777777777777777
2025,10-50,0.6,0.6,all,163.1578947368421,19,1,5.263157894736842
2025,10-50,0.6,0.6,3,163.1578947368421,19,1,5.263157894736842
2025,10-50,0.6,0.6,4,172.22222222222223,18,1,5.555555555555555
2025,10-50,0.6,0.6,5,182.35294117647058,17,1,5.88235294117647
2025,10-50,0.6,0.7,all,0.0,5,0,0.0
2025,10-50,0.6,0.7,3,0.0,5,0,0.0
2025,10-50,0.6,0.7,4,0.0,5,0,0.0
2025,10-50,0.6,0.7,5,0.0,5,0,0.0
2025,10-50,0.7,0.4,all,58.55555555555556,90,3,3.3333333333333335
2025,10-50,0.7,0.4,3,58.55555555555556,90,3,3.3333333333333335
2025,10-50,0.7,0.4,4,60.57471264367816,87,3,3.4482758620689653
2025,10-50,0.7,0.4,5,54.54545454545454,77,2,2.5974025974025974
2025,10-50,0.7,0.5,all,77.5,40,1,2.5
2025,10-50,0.7,0.5,3,77.5,40,1,2.5
2025,10-50,0.7,0.5,4,79.48717948717949,39,1,2.564102564102564
2025,10-50,0.7,0.5,5,86.11111111111111,36,1,2.7777777777777777
2025,10-50,0.7,0.6,all,163.1578947368421,19,1,5.263157894736842
2025,10-50,0.7,0.6,3,163.1578947368421,19,1,5.263157894736842
